tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
664,2016-09-28 08:42:21,2016-09-28 08:53:25,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,335,Washington Pl & Broadway,40.72903917,-73.99404649,15198,Subscriber,1997,female,""
826,2017-06-08 22:49:43,2017-06-08 23:03:30,488,W 39 St & 9 Ave,40.75645824,-73.99372222,497,E 17 St & Broadway,40.73704984,-73.99009296,17602,Subscriber,1950,male,""
498,2015-05-13 11:51:33,2015-05-13 11:59:51,173,Broadway & W 49 St,40.76064679,-73.98442659,359,E 47 St & Park Ave,40.75510267,-73.97498696,20117,Subscriber,1945,male,""
424,2016-06-07 15:18:32,2016-06-07 15:25:36,3131,E 68 St & 3 Ave,40.76712840349542,-73.962246179580688,305,E 58 St & 3 Ave,40.76095756,-73.96724467,17628,Subscriber,1951,female,""
199,2014-07-01 12:42:33,2014-07-01 12:45:52,526,E 33 St & 5 Ave,40.74765947,-73.98490707,474,5 Ave & E 29 St,40.7451677,-73.98683077,20743,Subscriber,1949,male,""
494,2013-12-08 08:22:47,2013-12-08 08:31:01,128,MacDougal St & Prince St,40.72710258,-74.00297088,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,15335,Subscriber,1948,male,""
3851,2018-04-24 13:00:51.623,2018-04-24 14:05:03.413,453,W 22 St & 8 Ave,40.74475148,-73.99915362,453,W 22 St & 8 Ave,40.74475148,-73.99915362,18720,Subscriber,1951,male,""
2120,2017-04-03 17:42:01,2017-04-03 18:17:22,167,E 39 St & 3 Ave,40.7489006,-73.97604882,390,Duffield St & Willoughby St,40.69221589,-73.9842844,26139,Subscriber,1951,male,""
350,2018-03-24 11:57:06.631,2018-03-24 12:02:57.167,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,17517,Subscriber,1946,male,""
1732,2017-10-28 19:29:45,2017-10-28 19:58:38,525,W 34 St & 11 Ave,40.75594159,-74.0021163,519,Pershing Square North,40.751873,-73.977706,31971,Subscriber,1950,female,""
239,2015-12-14 18:43:45,2015-12-14 18:47:44,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,382,University Pl & E 14 St,40.73492695,-73.99200509,15318,Subscriber,1997,male,""
567,2014-04-21 12:07:27,2014-04-21 12:16:54,464,E 56 St & 3 Ave,40.75934501,-73.96759673,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,21603,Subscriber,1947,male,""
2457,2017-11-16 11:04:28,2017-11-16 11:45:25,3497,Pleasant Ave & E 116 St,40.7949879,-73.9333349,3135,E 75 St & 3 Ave,40.77112927,-73.95772297,32324,Subscriber,1952,male,""
1235,2014-08-02 13:11:19,2014-08-02 13:31:54,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,223,W 13 St & 7 Ave,40.73781509,-73.99994661,16895,Subscriber,1946,male,""
356,2016-09-27 18:17:47,2016-09-27 18:23:43,345,W 13 St & 6 Ave,40.73649403,-73.99704374,503,E 20 St & Park Ave,40.73827428,-73.98751968,26936,Subscriber,1940,female,""
755,2014-11-04 19:51:35,2014-11-04 20:04:10,297,E 15 St & 3 Ave,40.734232,-73.986923,127,Barrow St & Hudson St,40.73172428,-74.00674436,17604,Subscriber,1946,male,""
1095,2014-04-09 22:05:17,2014-04-09 22:23:32,317,E 6 St & Avenue B,40.72453734,-73.98185424,2012,E 27 St & 1 Ave,40.739445,-73.976806,20957,Subscriber,1900,male,""
988,2017-11-16 10:44:24,2017-11-16 11:00:53,516,E 47 St & 1 Ave,40.75206862,-73.96784384,498,Broadway & W 32 St,40.74854862,-73.98808416,14766,Subscriber,1948,male,""
2738,2017-10-07 14:52:17,2017-10-07 15:37:55,480,W 53 St & 10 Ave,40.76669671,-73.99061728,309,Murray St & West St,40.7149787,-74.013012,28257,Customer,1951,male,""
310,2017-10-22 11:56:03,2017-10-22 12:01:13,504,1 Ave & E 16 St,40.73221853,-73.98165557,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,25296,Subscriber,1997,male,""
1988,2017-08-06 15:06:39,2017-08-06 15:39:47,268,Howard St & Centre St,40.71910537,-73.99973337,519,Pershing Square North,40.751873,-73.977706,15190,Subscriber,1947,male,""
221,2015-01-26 14:03:00,2015-01-26 14:06:00,212,W 16 St & The High Line,40.74334935,-74.00681753,459,W 20 St & 11 Ave,40.746745,-74.007756,18526,Subscriber,1944,male,""
962,2018-02-07 09:03:08.905,2018-02-07 09:19:10.925,433,E 13 St & Avenue A,40.72955361,-73.98057249,490,8 Ave & W 33 St,40.751551,-73.993934,32158,Subscriber,1997,female,""
